customer_id,full_name,age,gender,email,phone_number,country,zip_code,signup_date,last_purchase_date,product_category,purchase_amount,annual_salary,satisfaction_rating,is_subscribed,notes,loyalty_points
1184,  Dr. Sheila Henry  ,19.0,Male,dr..sheila.henry@company.com,846.392.0867,UK,71380,2021-11-14,18 Nov 2019,books,343.34,39925.28,4.0,true,,-
1195,JENNIFER SANCHEZ,67.0,,jennifer.sanchez@yahoo.com,097.925.1327,Germany,12481,07/10/2020,20/08/2024,Electronics,,67513.35,,1,See attached file!!!,200.5
1222,  Wayne Ramirez  ,54.0,f,wayne.ramirez@company.com,056-829-9629,france,15816,10/01/2025,2019-11-23,electronics,-89.21,65275.72,4.0,No,   ,-
1209,,25.0,m,ERIC@GMAIL.COM,unknown,Deutschland,41445,11/08/2024,24 Dec 2021,Home & Garden,59.61,58463.62,,N,TRAVEL INVOLVE TRAINING SHOW PREVENT NORTH CITIZEN.,-
1281,Kathryn Martinez,85.0,Male,kathryn.martinez@company.com,+1-984-713-9155,S. Africa,770,03-05-2021,2022-06-01,Electronics,356.25,53809.49,2.0,no,   ,150
1208,ROBIN GARRETT,5.0,Other,robin.garrett@company.com,,United States,51248,2019/05/23,2021-12-10,,84.48,30085.22,,0,Want we difficult.,100
1124,samuel davis,90.0,m,samuel.davis@gmail.com,490.352.1356,south africa,67801,2018-08-09,20/12/2022,,303.68,51152.78,2.0,yes,N/A,200.5
1250,  Jason Gonzalez  ,67.0,,jason.gonzalez@gmail.com,+1-317-970-6239,france,60137,22 Jan 2018,"April 14, 2018",Clothing,167.97 USD,"$59,329.17",1.0,0,,150
1076,  Jonathan Carr  ,77.0,f,jonathan.carr@gmail.com,unknown,england,62315,"November 26, 2019",13/07/2023,Books,183.76,54283.48,2.0,Y,Relationship million night your.,200.5
1382,  Mark Mcmahon  ,39.0,Non-binary,mark.mcmahon@yahoo.com,424-033-8105,Germany,83428,2020/02/24,"September 25, 2020",home and garden,345.99,,2.0,,NULL,150
1342,stephen robles,61.0,Other,stephen.robles@yahoo.com,220-681-5583,,823,10-20-2023,,clothing ,129.43,55420.08,,0,   ,150
1323,BENJAMIN GREENE,28.0,,benjamin.greene@hotmail.com,unknown,United Kingdom,57979,2019/02/26,2018/11/03,Home & Garden,103.08 USD,"$61,145.99",1.0,No,HELP THREE REALLY.,150
1244,kelly bentley,150.0,Male,,,S. Africa,708,07 Aug 2019,2019-05-11,Books,254.69,76779.01,,Yes,See attached file!!!,100
1331,,63.0,m,ronald@gmail.com,unknown,Deutschland,49926,"October 29, 2023","June 21, 2020",,486.78,57346.55,3.0,,ONCE LET PERFORM INTERNATIONAL LEVEL.,200.5
1140,Robert Turner,67.0,M,robert.turner@gmail.com,unknown,,37246,06/02/2021,2024-06-12,electronics,173.28,56993.03,3.0,false,See attached file!!!,200.5
1009,  Corey Herrera  ,57.0,Other,corey.herrera@gmail.com,262-473-1781,United States of America,07131,"March 15, 2019",05/11/2021,clothing ,423.82 USD,65851.2,,yes,NULL,200.5
1072,  Julie Koch DDS  ,-1.0,,,+1-168-733-9500,United States,,N/A,30/10/2022,Clothing,129.95,0,2.0,no,NULL,100
1400,,68.0,Non-binary,MORGAN@COMPANY.COM,157-787-1121,United States,52529,16/10/2022,2021/08/30,,447.16,"$39,539.80",1.0,Yes,Current forget fish you main reduce.,150
1487,troy white,5.0,,troy.white at hotmail.com,6817151602,Germany,42316,01-31-2018,2024/09/01,Books,278.04,36202.4,2.0,Y,See attached file!!!,200.5
1225,  Ashley Daniels  ,,Male,ashley.daniels@hotmail.com,8542493214,Uk,80882,20/11/2022,2019/09/12,Electronics,32.01,66417.81,11.0,Yes,INTERVIEW CONDITION OTHER OR.,200.5
1073,JAMES HUDSON,84.0,M,james.hudson@company.com,358.416.8784,UK,821,"November 13, 2022",2019/01/26,,28.05 USD,42097.6,1.0,yes,,100
1177,  Marie Boyd  ,60.0,,marie.boyd@yahoo.com,5086376599,S. Africa,13308,09-15-2021,10 Dec 2021,,256.44,78171.91,,Y,ELECTION ACCEPT SEASON ACCORDING MISSION MIND.,N/A
1403,  Deborah Bowen  ,42.0,M,DEBORAH.BOWEN@YAHOO.COM,(727) 910-3368,Deutschland,22272,2018/09/08,2022/03/03,books,372.27,"$84,022.87",4.0,no,NULL,200.5
1068,barbara harris,19.0,Other,barbara.harris@hotmail.com,237.058.9578,UK,17510,2022/10/16,2022/04/11,home and garden,271.27,"$53,559.80",1.0,1,See attached file!!!,200.5
1155,MONICA SNOW,78.0,F,,771.670.1450,Deutschland,92850,24 Nov 2018,08-31-2022,books,,0,,no,N/A,100
1055,,27.0,Non-binary,justin@gmail.com,1998679807,Deutschland,75429,07-22-2022,30 Aug 2022,Home & Garden,431.08,67233.53,4.0,No,NULL,N/A
1405,,1.0,m,mary@hotmail.com,unknown,usa,12250,28/05/2024,08/08/2019,clothing ,57.09,98063.65,5.0,1,NULL,N/A
1298,,68.0,m,thomas@yahoo.com,(012) 277-7079,USA,32302,2021-04-10,06-29-2019,Clothing,5.69,"$64,242.07",5.0,Y,,N/A
1077,Maria Steele,80.0,Non-binary,maria.steele@hotmail.com,973.348.4344,United States of America,92893,"October 06, 2024",07-31-2021,Clothing,143.75,86292.87,2.0,,Real major look night various.,200.5
1468,james watson md,34.0,,james.watson.md@yahoo.com,(173) 906-3757,USA,74314,2022-02-02,2019/01/14,clothing ,150.11,19825.21,5.0,No,   ,150
1317,john valenzuela,,Non-binary,,,RSA,88673,"October 27, 2023",28/10/2022,home and garden,401.66,45139.98,3.0,1,,150
1475,joseph schmidt,22.0,,joseph.schmidt@company.com,9324268774,Deutschland,90333,2020/11/23,"September 16, 2021",,143.09,"$87,572.31",3.0,1,NULL,100
1090,JENNIFER ALLEN,51.0,Other,jennifer.allen@company.com,unknown,United States of America,42655,2021-06-23,01-07-2024,Toys,158.53,44964.86,1.0,false,Herself move grow end mention.,
1238,,80.0,,michael@company.com,unknown,south africa,95561,2019/06/01,03-10-2024,Electronics,272.27,56637.48,1.0,N,NULL,
1485,SARAH BROOKS,16.0,M,sarah.brooks@gmail.com,(725) 178-6376,usa,61250,2021-10-14,2023-09-24,Home & Garden,179.85,68393.45,5.0,No,N/A,150
1063,haley quinn,,f,haley.quinn@yahoo.com,+1-195-205-8527,France,91647,"June 30, 2022",2020-10-13,Home & Garden,362.83 USD,51286.82,,No,THOUGH FIRM FINANCIAL HUGE SPRING.,150
1457,lynn yang,10.0,Female,lynn.yang at yahoo.com,(647) 229-8120,S. Africa,,19/01/2020,"July 25, 2020",electronics,70.34,,4.0,Yes,,150
1070,,51.0,Female,gary@hotmail.com,9229959001,RSA,06459,30 Jul 2023,04/08/2021,Clothing,13.03,75070.66,2.0,true,   ,-
1002,,21.0,,christine@yahoo.com,(593) 103-4131,USA,50324,07-02-2022,12/07/2021,Books,74.12,67953.77,3.0,no,,-
1287,,43.0,F,laura@hotmail.com,0443973597,United States,117,29 Jun 2020,"November 27, 2023",electronics,351.73,26397.17,4.0,yes,,100
1341,STEPHANIE PATEL,49.0,Male,stephanie.patel@yahoo.com,(708) 164-7090,United Kingdom,06879,2022/11/13,"January 20, 2025",Electronics,206.97,81109.58,5.0,false,   ,200.5
1137,barbara todd,30.0,F,BARBARA.TODD@COMPANY.COM,223-320-6163,,82712,2023-10-30,08-02-2022,clothing ,214.66,98809.11,5.0,false,,150
1249,david jensen,85.0,Male,,701-082-2078,United States of America,15713,23/05/2024,"April 05, 2018",Books,,40392.67,3.0,true,See attached file!!!,200.5
1194,zachary gonzalez,-1.0,M,zachary.gonzalez@yahoo.com,1837645208,United States of America,68779,"March 06, 2020","May 12, 2018",Books,89.74,109403.38,5.0,yes,   ,
1172,LISA MARTIN,89.0,m,lisa.martin@gmail.com,827-229-9275,usa,05798,30 Oct 2021,21/12/2019,Books,324.6,64476.66,4.0,Yes,NULL,100
1082,MICHELE COLLINS,15.0,Male,michele.collins@yahoo.com,+1-145-933-2727,Germany,98508,"January 11, 2024",15 Nov 2019,,182.72 USD,56835.22,5.0,,THEIR BANK LAND REGION BACK NOR ARTICLE NATURAL.,
1453,,1.0,m,david@yahoo.com,+1-809-788-7543,usa,75899,2022/03/10,2020/06/16,electronics,323.73,57313.49,5.0,No,SECURITY BREAK DROP RUN THEY GUN.,-
1318,William Bennett,17.0,Other,william.bennett@company.com,unknown,UK,79316,2020-04-14,,books,43.99,43212.7,3.0,yes,   ,-
1033,JESSICA RAMIREZ,64.0,F,jessica.ramirez@yahoo.com,967.175.6551,france,21580,25 Sep 2019,2021-02-19,Clothing,54.18,33845.78,2.0,No,FIRE FOLLOW WIFE IDENTIFY.,200.5
1426,HAROLD MCKINNEY,64.0,Female,harold.mckinney@gmail.com,+1-897-148-0263,UK,869,04/10/2018,2022/12/16,Clothing,363.83 USD,,3.0,yes,,100
1227,,14.0,f,thomas@gmail.com,577.245.9928,Uk,13992,01-24-2018,"August 23, 2021",ELECTRONICS,29.1,,,0,See attached file!!!,-
1000,ALLISON HILL,,m,allison.hill@yahoo.com,321-819-6001,,29158,2018-05-03,"March 25, 2020",,435.3,64934.28,3.0,No,N/A,N/A
1011,jennifer david,43.0,Non-binary,jennifer.david@yahoo.com,939-909-1699,Deutschland,69023,03-01-2023,"April 07, 2018",clothing ,257.16,"$45,685.40",3.0,yes,NULL,
1237,tonya vega,67.0,F,tonya.vega@hotmail.com,+1-018-569-4544,USA,13382,2019/09/11,10-31-2023,clothing ,160.28,45292.73,4.0,false,   ,150
1022,ANTONIO WALL,52.0,,,690-967-0546,United States of America,55422,04-24-2024,2022/09/01,home and garden,224.15,56350.56,1.0,no,   ,-
1104,JUSTIN MULLEN,51.0,,justin.mullen at hotmail.com,+1-362-266-0937,RSA,78122,07-02-2018,2024-04-30,Toys,273.02,25729.7,4.0,1,SON MR HAND CULTURE.,N/A
1296,thomas patrick,27.0,Non-binary,thomas.patrick@gmail.com,unknown,United Kingdom,28166,2022-12-31,27/04/2023,home and garden,130.0,35369.83,4.0,,N/A,N/A
1101,,79.0,Female,stephanie@gmail.com,(737) 416-7243,RSA,33620,"November 19, 2019",,Clothing,38.56,,4.0,yes,See attached file!!!,100
1079,JOSHUA HICKMAN,85.0,f,joshua.hickman@gmail.com,6773454019,Germany,30938,02-08-2019,14/06/2024,,79.62,71438.05,,yes,,100
1429,kathryn mullen,23.0,Non-binary,KATHRYN.MULLEN@YAHOO.COM,(821) 423-6914,USA,29187,27/01/2024,02 May 2020,Books,234.44,45616.49,2.0,0,   ,100
1431,Jennifer Campos,26.0,Male,jennifer.campos@company.com,+1-943-985-2989,south africa,38950,2024/11/13,,Electronics,49.52,82077.45,1.0,N,,100
1018,  Jeffrey Carpenter  ,22.0,F,jeffrey.carpenter@yahoo.com,,South Africa,86314,18 Mar 2022,13/01/2025,,-399.13,36839.52,,,,-
1176,  Dale Heath  ,44.0,Other,dale.heath at yahoo.com,,S. Africa,,13 Oct 2022,2023/01/01,Toys,43.88,"$70,741.69",4.0,No,ME BROTHER LOT CANDIDATE OWNER STILL TO.,-
1231,ALAN GRIFFITH,2.0,Male,alan.griffith@company.com,unknown,Deutschland,64293,12-01-2024,N/A,electronics,-349.54,"$68,027.83",5.0,no,N/A,100
1243,Lydia Howard,3.0,F,lydia.howard@yahoo.com,173.203.0937,,51457,2023/12/26,04-06-2018,Home & Garden,50.06,45561.36,2.0,Y,See attached file!!!,-
1132,ann fletcher,66.0,F,ann.fletcher@gmail.com,unknown,UK,84269,29 Jul 2019,"August 22, 2019",Books,135.86,36812.25,4.0,Yes,Land enter economic attack either blue.,100
1039,BRETT SCHULTZ,85.0,Non-binary,brett.schultz@company.com,1724005045,Germany,49632,26 Aug 2024,,clothing ,384.84,58937.22,2.0,true,   ,100
1464,,26.0,m,,+1-199-529-8006,usa,12330,05-04-2022,2018-08-12,clothing ,52.47,,1.0,Yes,N/A,N/A
1046,  Carlos King  ,-1.0,f,carlos.king@gmail.com,210-205-3950,UK,23339,04/10/2023,01-22-2023,Home & Garden,-497.29,45787.22,2.0,yes,Appear score moment second live.,150
1357,connie scott,34.0,F,connie.scott@hotmail.com,(712) 871-5399,United States,08977,2018/06/12,04-16-2018,Books,416.36,67482.4,4.0,false,NULL,-
1277,ELIJAH MONTES,42.0,,elijah.montes@company.com,+1-371-834-4049,Deutschland,53195,"February 16, 2019",2023/11/01,Books,154.17,40846.61,1.0,false,   ,-
1362,,-5.0,Other,sierra@yahoo.com,185.962.6301,england,32070,10-24-2019,2018-02-25,books,245.03,41456.77,3.0,No,See attached file!!!,200.5
1093,MICHAEL SMITH,37.0,m,michael.smith at company.com,8750997700,england,70259,20 Aug 2024,17/02/2024,books,420.59,,3.0,No,   ,100
1446,Alison Huff,,Female,alison.huff@yahoo.com,+1-449-641-0496,S. Africa,,,2022/08/27,Clothing,8.54,32507.16,2.0,yes,Affect him know difference here process mouth.,100
1203,  Richard Reyes  ,,f,RICHARD.REYES@COMPANY.COM,+1-480-589-2583,Germany,20580,28/03/2021,24/08/2022,clothing ,434.43,38064.13,,true,NULL,-
1450,Jonathon Alexander,75.0,Other,jonathon.alexander@gmail.com,(508) 304-4058,United Kingdom,946,,07 Nov 2022,Electronics,479.92,40030.27,3.0,no,   ,150
1148,,90.0,Other,nathan@company.com,unknown,france,02346,23 Nov 2021,0000-00-00,ELECTRONICS,237.25 USD,85998.69,1.0,true,NULL,
1220,  Yvonne Gutierrez  ,90.0,f,yvonne.gutierrez@gmail.com,558-303-4414,S. Africa,39859,11-12-2020,11/05/2020,Toys,21.77,36243.5,3.0,true,N/A,100
1069,Shawn Deleon,18.0,Non-binary,SHAWN.DELEON@YAHOO.COM,9226801824,U.S.,22082,2020-02-20,26/10/2018,Clothing,435.39,,1.0,false,   ,
1253,lauren bray,6.0,M,lauren.bray@company.com,unknown,france,61287,27 Aug 2019,2018/02/03,books,281.93 USD,97878.88,2.0,No,,200.5
1398,Adrian Miranda,74.0,Other,adrian.miranda@hotmail.com,(481) 717-5242,U.S.,09435,07-09-2021,01-25-2020,Toys,133.22,55251.85,4.0,Yes,Office government author represent leave.,-
1167,Mitchell Johnson,37.0,,MITCHELL.JOHNSON@HOTMAIL.COM,(102) 481-9346,germany,51361,2023-01-25,17/02/2024,Books,357.75,59645.07,2.0,No,N/A,N/A
1275,Jacob Pacheco,80.0,F,JACOB.PACHECO AT YAHOO.COM,905-616-5565,south africa,,0000-00-00,2020-12-25,Clothing,8.59,45315.32,3.0,0,See attached file!!!,100
1470,angela garcia dds,,Male,angela.garcia.dds@yahoo.com,6202812371,germany,05620,"December 19, 2019",2018-06-23,books,340.38,14215.36,5.0,N,See attached file!!!,-
1493,  Christine Wolfe  ,33.0,M,christine.wolfe at yahoo.com,,germany,88710,14 Apr 2020,27 Dec 2019,electronics,177.18,65080.93,4.0,Y,,-
1320,Ana Anderson,82.0,,ana.anderson@yahoo.com,124.938.4308,USA,81039,11-05-2021,2019/10/11,Electronics,261.41,62140.31,,yes,   ,200.5
1329,CHRISTOPHER ROSE,74.0,m,christopher.rose@gmail.com,+1-961-122-3386,S. Africa,91511,"June 19, 2020",02/12/2019,Electronics,254.1,67207.41,3.0,,N/A,100
1173,,41.0,Other,mary@yahoo.com,4989266591,U.S.,68221,2021-02-22,2019/11/11,clothing ,160.68 USD,31173.93,4.0,Y,   ,-
1272,Diana Reeves,83.0,F,diana.reeves@gmail.com,(994) 657-9678,United Kingdom,37055,"November 11, 2020","February 17, 2022",Clothing,22.08,75649.31,3.0,0,WALL AHEAD SCENE STORE MARRIAGE AGO CONDITION PAINTING.,150
1495,Heather Robinson,1.0,Male,heather.robinson@hotmail.com,9455158886,United States,30005,2020-02-07,2021/01/18,,181.66,39142.54,3.0,false,   ,N/A
1182,NINA ALI,89.0,F,NINA.ALI@HOTMAIL.COM,779-071-4163,england,89225,"November 16, 2018",N/A,Books,237.27,92935.86,1.0,0,NULL,N/A
1268,,81.0,Non-binary,brian@yahoo.com,1401401193,Deutschland,775,2018/03/14,2020/08/10,,66.41,"$63,099.63",4.0,Y,   ,
1352,Paul Lamb,38.0,M,paul.lamb@gmail.com,346-791-2141,United Kingdom,50010,"September 24, 2023",10/11/2021,ELECTRONICS,498.92 USD,-1000,5.0,,See attached file!!!,-
1117,  Dustin Marquez  ,15.0,F,dustin.marquez at gmail.com,6661889241,RSA,41121,12-21-2024,2020-01-20,home and garden,241.73,"$58,491.56",2.0,No,See attached file!!!,100
1393,paul gordon,75.0,,paul.gordon@gmail.com,066-784-9843,germany,560,2020-03-19,2024-05-20,Books,101.43,"$52,824.80",5.0,Y,HUNDRED ARGUE HOT STATE WISH.,200.5
1332,,87.0,f,patrick@company.com,(273) 415-1488,USA,72151,2021/11/07,N/A,Toys,342.06,80553.3,1.0,Y,Skill unit better author.,-
1455,Alexis Martinez,64.0,f,alexis.martinez@hotmail.com,unknown,usa,35022,2024/08/01,,Books,47.98,56350.37,1.0,false,See attached file!!!,N/A
1444,,57.0,f,laurie@hotmail.com,3010272405,UK,46332,2021-08-15,19/02/2022,Toys,165.32,69232.3,5.0,Yes,Pretty each factor paper long business baby economic.,N/A
1356,Laura Vincent,57.0,Male,LAURA.VINCENT@HOTMAIL.COM,8027148727,USA,15663,2023/11/22,04-23-2022,Clothing,142.74,70833.25,4.0,false,   ,N/A
1086,  Michael Brennan  ,69.0,Non-binary,michael.brennan@company.com,3067383028,south africa,38415,2019/06/19,2018-07-18,electronics,83.2,84557.88,3.0,yes,NULL,150
1438,BRIAN COLE,-1.0,f,brian.cole@gmail.com,298.334.7743,germany,,12-28-2018,"October 16, 2024",Home & Garden,372.39,45998.69,2.0,no,,100
1075,Lauren Robles,71.0,Non-binary,lauren.robles at company.com,097.499.3097,U.S.,228,24 Sep 2019,N/A,clothing ,381.87,85760.73,1.0,Yes,N/A,200.5
1451,Jeffery Campbell,84.0,M,jeffery.campbell@company.com,059.556.5749,USA,04584,2018/12/29,"March 09, 2022",Home & Garden,176.66,86023.04,4.0,,See attached file!!!,150
1015,,65.0,Non-binary,francisco@company.com,2602563421,england,50641,2021/02/09,16/03/2021,ELECTRONICS,194.6,43754.25,1.0,no,See attached file!!!,200.5
1210,JOSEPH BALL,59.0,m,joseph.ball@company.com,+1-252-056-6474,United Kingdom,20418,N/A,"July 07, 2023",electronics,200.43,62706.35,3.0,no,,-
1180,miss kelly dawson,8.0,f,miss.kelly.dawson at gmail.com,902-770-3843,South Africa,04906,21 Aug 2020,17 Apr 2022,Books,279.93,63255.62,2.0,yes,Member recognize past purpose growth pretty wish beautiful.,200.5
1397,anna higgins,62.0,,anna.higgins@gmail.com,322.889.8572,Deutschland,44937,2024/10/21,2021/02/04,ELECTRONICS,41.62,59481.85,5.0,no,N/A,200.5
1019,TREVOR YOUNG,63.0,F,trevor.young@hotmail.com,+1-433-200-3791,UK,60193,2021/01/11,"November 20, 2022",electronics,228.15,26753.93,3.0,yes,THROUGHOUT TEAM THOSE.,
1381,Paul Cruz,82.0,M,paul.cruz@hotmail.com,(669) 432-0293,U.S.,78110,"June 01, 2019",15 Nov 2021,books,-25.12,84507.12,1.0,true,N/A,N/A
1340,  Michael Marshall  ,75.0,f,MICHAEL.MARSHALL AT COMPANY.COM,(711) 837-2742,usa,22860,"August 08, 2023",2020-08-27,home and garden,-35.65,71270.19,1.0,yes,,
1056,Lisa Cox,13.0,M,lisa.cox@company.com,(466) 590-5151,south africa,73634,04/07/2021,08-05-2023,Books,111.5,75619.99,4.0,Y,Exist rich prevent trade their four.,200.5
1278,elizabeth brock,85.0,F,elizabeth.brock@gmail.com,6853664987,england,88523,"May 05, 2023",2023-07-09,,302.34,63876.39,5.0,true,   ,100
1467,Rebecca Lee,48.0,Male,rebecca.lee@company.com,9456804473,S. Africa,13566,05/04/2021,26/04/2024,Electronics,175.87,76168.49,,Y,,150
1044,Stephen Taylor,11.0,m,stephen.taylor@hotmail.com,758.692.6179,France,539,2022/10/01,05-27-2020,ELECTRONICS,151.42,25429.56,3.0,0,,150
1154,  Amy Dunlap  ,85.0,Other,amy.dunlap@yahoo.com,unknown,South Africa,21393,2021-08-12,16/06/2019,electronics,,81142.86,5.0,0,NULL,N/A
1025,LAURA ODONNELL,53.0,f,laura.odonnell@gmail.com,6631931491,S. Africa,74678,2024-03-03,N/A,books,31.83,57218.45,,Y,,200.5
1265,  Dylan Moreno  ,18.0,f,DYLAN.MORENO@COMPANY.COM,(183) 219-2855,germany,90281,N/A,16/02/2019,electronics,10.55,45501.09,5.0,no,ACTUALLY MILLION HEALTH MACHINE.,200.5
1042,JOSHUA MATA,81.0,m,JOSHUA.MATA@GMAIL.COM,884-247-4517,USA,10370,2021-03-21,2024/08/30,Electronics,405.86,52687.03,,No,,100
1312,AMY HUDSON,51.0,Non-binary,amy.hudson at hotmail.com,(378) 018-2043,Deutschland,32651,2023-02-05,05-24-2020,Electronics,183.94,,4.0,Y,NULL,N/A
1412,  Bradley Holt  ,63.0,Other,bradley.holt@company.com,244-731-5847,usa,98175,2019/02/08,"July 04, 2024",Electronics,395.13,38205.56,4.0,,Job watch two economic cup suffer response.,
1456,  James Hawkins  ,61.0,M,james.hawkins@company.com,,United States of America,93822,2018/04/26,03 May 2024,clothing ,350.62,96214.96,3.0,true,N/A,
1284,Lance Li,3.0,Non-binary,lance.li at company.com,570.027.2063,usa,82853,"April 29, 2020",2020-01-08,ELECTRONICS,328.06 USD,49948.64,,No,NULL,100
1126,AUSTIN ORR,28.0,f,austin.orr@hotmail.com,unknown,United States,58622,18 Nov 2021,2020-09-25,electronics,272.42,54305.76,4.0,false,Begin suggest speak business.,200.5
1334,KEVIN TRAN,39.0,m,kevin.tran@company.com,775.153.6637,United Kingdom,59479,2022/09/02,17 Jan 2025,home and garden,265.65,65941.95,4.0,true,See attached file!!!,
1031,christopher jones,80.0,m,christopher.jones@yahoo.com,0679740344,germany,,"February 03, 2022",29/08/2022,Home & Garden,457.18,92045.56,3.0,No,NAME POSITIVE TRAINING STEP.,
1113,  Steven Martin  ,1.0,,steven.martin@yahoo.com,643-611-0371,United States of America,17894,07 Feb 2025,0000-00-00,Home & Garden,267.86 USD,,2.0,N,NULL,100
1255,SHELBY WARNER,72.0,F,shelby.warner@company.com,355-486-4015,United States,45750,09/03/2021,N/A,clothing ,15.39,"$14,497.15",3.0,false,   ,100
1218,KENT HUYNH,11.0,f,kent.huynh@gmail.com,145.561.6814,U.S.,62211,30/07/2019,"November 08, 2023",clothing ,49.67,76076.04,2.0,true,   ,200.5
1416,RICHARD JOHNSTON,62.0,,richard.johnston@yahoo.com,074.260.8805,,85013,"May 05, 2022",15 Dec 2020,Home & Garden,43.14,39817.35,5.0,yes,N/A,100
1057,MARIA MURPHY,34.0,f,MARIA.MURPHY AT HOTMAIL.COM,2816850542,france,28575,2022/05/02,"December 27, 2024",Home & Garden,172.85,73625.6,1.0,Yes,,100
1396,Douglas Sanders,73.0,Non-binary,douglas.sanders@gmail.com,3565215681,United States of America,66322,2021-01-28,N/A,home and garden,166.21,46975.59,1.0,No,   ,-
1024,Rachael Pearson,89.0,m,rachael.pearson@hotmail.com,033-092-3271,Germany,74421,,"July 26, 2020",Toys,290.24,44112.35,5.0,true,SING CLEARLY FIND OFFICIAL.,N/A
1017,teresa mclaughlin,24.0,M,teresa.mclaughlin@hotmail.com,+1-356-159-5148,Uk,41039,09-23-2022,08-02-2018,Electronics,-475.06,"$61,284.95",5.0,no,PAST FEELING NATURE A.,150
1192,melissa nelson,67.0,,MELISSA.NELSON@YAHOO.COM,+1-846-312-2417,U.S.,81468,05-18-2021,2023-12-12,books,386.31,84070.68,4.0,false,,
1066,,9.0,,,(556) 909-2755,Germany,58689,16 Apr 2022,18/01/2024,books,68.04,71250.52,5.0,true,See attached file!!!,N/A
1286,,71.0,m,CHRISTOPHER@YAHOO.COM,+1-529-108-6771,United States of America,29924,"October 17, 2018","February 29, 2020",,411.68,87648.23,3.0,No,N/A,-
1422,DEREK MCINTOSH,62.0,F,derek.mcintosh@gmail.com,unknown,france,11519,"February 16, 2024",03-22-2020,electronics,248.16,43461.93,3.0,,Issue character maybe meet apply evening.,N/A
1000,,54.0,,RANDY@YAHOO.COM,unknown,Germany,49397,06 Mar 2022,"July 01, 2019",home and garden,69.7,61575.02,3.0,N,BEHAVIOR HERE NEED.,100
